PROMOTOR-GESTOR;TIPUS VELOCITAT;LATITUD;LONGITUD;PROVINCIA;MUNICIPI;NPLACES ESTACIO
B:SM Serveis Municipals;NORMAL;41,4092;2,1681;Barcelona;Barcelona;6
VNG Charlie Rivel;NORMAL;41,2205858;1,723097599;Barcelona;Vilanova i la Geltr;2
BIMSA;semiRAPID;41,39537;2,153832;Barcelona;Barcelona;2
Desconegut;superRAPID;41,49923;2,07282;Barcelona;Sant Cugat del Valls;7
Desconegut;semiRAPID;41,93088;2,25542;Barcelona;Vic;1
B:SM Serveis Municipals;NORMAL;41,4274;2,1772;Barcelona;Barcelona;2
GAICU;RAPID;41,44128;2,16499;Barcelona;Barcelona;1
Ajuntament de Vic;NORMAL;41,933748;2,248307;Barcelona;Vic;2
Institut Catal d'Energia i Ajuntament de Girona;RAPID;41,96365;2,81488;Girona;Girona;2
B:SM Serveis Municipals;NORMAL;41,3744;2,1597;Barcelona;Barcelona;5
IBIL;RAPID;41,596529;2,309376;Barcelona;La Roca del Valls;1
Area Metropolitana de Barcelona;RAPID i NORMAL;41,51058;2,13254;Barcelona;Barber del Valls;2
Masi;NORMAL;41,6995;2,3834;Barcelona;Sant Pere Vilamajor;2
CC CARREFOUR MANRESA;NORMAL;41,7227;1,8456;Barcelona;Manresa;1
Desconegut;semiRAPID;41,079048;1,132352;Tarragona;Salou;1
Ajuntament Cambrils;semiRAPID i NORMAL;41,06491;1,05732;Tarragona;Cambrils;4
22@;NORMAL;41,396934;2,199915;Barcelona;Barcelona;1
Institut Catal d'Energia i Ajuntament de Reus;RAPID;41,15472;1,11168;Tarragona;Reus;2
Gas Natural Fenosa;RAPID;41,52427;2,42684;Barcelona;Matar;2
B:SM Serveis Municipals;NORMAL;41,416515;2,180421;Barcelona;Barcelona;6
Institut Catal d'Energia i Ajuntament de Matar;semiRAPID;41,54148;2,44324;Barcelona;Matar;2
Desconegut;semiRAPID i NORMAL;41,1943;1,62413;Tarragona;Cunit;2
Gran Jonquera;NORMAL;42,40251;2,88104;Girona;La Jonquera;6
Desconegut;semiRAPID i NORMAL;41,18619;1,51388;Tarragona;El Vendrell;2
Restaurant El Mol de Mallol;NORMAL;41,3793661;1,1631832;Tarragona;Montblanc;1
AEB;NORMAL;41,382069;2,191673;Barcelona;Barcelona;2
Desconegut;semiRAPID i NORMAL;41,55784;2,04247;Barcelona;Terrassa;2
TESLA;semiRAPID;41,52733;2,3107;Barcelona;Vallromanes;1
B:SM Serveis Municipals;NORMAL;41,401408;2,133986;Barcelona;Barcelona;4
B:SM Serveis Municipals;NORMAL;41,401794;2,160702;Barcelona;Barcelona;1
Ajuntament de Granollers;RAPID;41,60002;2,28025;Barcelona;Granollers;2
AMERSAM;NORMAL;41,153851;1,101613;Tarragona;Reus;2
Desconegut;NORMAL;41,37758;2,08867;Barcelona;Esplugues de Llobregat;1
Desconegut;semiRAPID i NORMAL;41,18305;0,56667;Tarragona;Asc;2
Area Metropolitana de Barcelona;RAPID i NORMAL;41,37443;2,07219;Barcelona;Sant Joan Desp;4
Ajuntament de Castelldefels;NORMAL;41,281941;1,980239;Barcelona;Castelldefels;2
AMERSAM;NORMAL;41,158966;1,106615;Tarragona;Reus;4
Leroy Merlin;NORMAL;41,48142;2,04547;Barcelona;Sant Cugat del Valles;1
B:SM Serveis Municipals;NORMAL;41,385662;2,193913;Barcelona;Barcelona;7
GAICU;semiRAPID;41,406959;2,218313;Barcelona;Barcelona;2
AMERSAM;NORMAL;41,152793;1,10902;Tarragona;Reus;2
SERVICIOS MERIDIANA;NORMAL;41,408394;2,177052;Barcelona;Barcelona;4
Desconegut;NORMAL;41,38028;2,18729;Barcelona;Barcelona;2
AEB;NORMAL;41,396236;2,18219;Barcelona;Barcelona;2
Gintra-Ap. Parc Central;NORMAL;41,54401855;2,440582297;Barcelona;Matar;1
Area Metropolitana de Barcelona;RAPID i NORMAL;41,4828;2,05134;Barcelona;Sant Cugat del Valls;2
Desconegut;semiRAPID;41,75166;1,87694;Barcelona;Sant Fruits de Bages;1
Vincipark;NORMAL;41,393803;2,138297;Barcelona;Barcelona;4
SOFOS ENERGIA;NORMAL;41,614821;0,684832;Lleida;Lleida;1
TESLA;semiRAPID;41,38537;2,15675;Barcelona;Barcelona;1
B:SM Serveis Municipals;NORMAL;41,384186;2,122279;Barcelona;Barcelona;4
CC Splau!;NORMAL;41,34821052;2,078057528;Barcelona;Cornell de Llobregat;6
Desconegut;semiRAPID;41,42394;1,78662;Barcelona;Sant Sadurn d'Anoia;1
SERVICIOS MERIDIANA;NORMAL;41,399605;2,170186;Barcelona;Barcelona;6
BIMSA;NORMAL;41,393227;2,145783;Barcelona;Barcelona;2
Aparcament Centre Olot;NORMAL;42,18294;2,48422;Girona;Olot;2
Endesa;NORMAL;41,41396;2,142913;Barcelona;Barcelona;2
Estabanell y Pahisa;NORMAL;41,84919539;2,22780389;Barcelona;Tona;1
B:SM Serveis Municipals;NORMAL;41,379559;2,16201;Barcelona;Barcelona;1
Aparcament Vapor Turull;NORMAL;41,54938631;2,111784403;Barcelona;Sabadell;1
Desconegut;semiRAPID i NORMAL;41,75166;1,87694;Barcelona;Sant Fruits de Bages;2
TABASA E.S. Tunel Vallvidrera;NORMAL;41,433258;2,078548;Barcelona;Barcelona;4
Hotel Ciutat de Granollers;NORMAL;41,60092;2,29588;Barcelona;Granollers;1
Meli BCN;NORMAL;41,390865;2,141604;Barcelona;Barcelona;2
TESLA;semiRAPID;41,79054;3,0558;Girona;S'Agar;1
Endesa;NORMAL;41,381421;2,18197;Barcelona;Barcelona;2
REGESA;NORMAL;41,392242;2,139655;Barcelona;Barcelona;4
AMERSAM;NORMAL;41,157893;1,105291;Tarragona;Reus;2
TESLA;semiRAPID;41,38702;2,19608;Barcelona;Barcelona;2
REGESA;NORMAL;41,41851;2,186116;Barcelona;Barcelona;4
Generalitat de Catalunya;NORMAL;41,48402;1,91808;Barcelona;MARTORELL;2
L'H2010;NORMAL;41,37423829;2,119582102;Barcelona;L'Hospitalet de Llobregat;6
Endesa;NORMAL;41,375336;2,13044;Barcelona;Barcelona;2
